stop_index,stop_name
1181,Smichovske nadrazi
1182,Smichovske nadrazi
1183,Smichovske nadrazi
1184,Smichovske nadrazi
1185,Smichovske nadrazi
1186,Smichovske nadrazi
1187,Smichovske nadrazi
1188,Smichovske nadrazi
1189,Smichovske nadrazi
1190,Stare Strasnice
1191,Stare Strasnice
1192,Stare Strasnice
1193,Stare Strasnice
1194,Nadrazi Uhrineves
1195,Nadrazi Uhrineves
1196,Nadrazi Veleslavin
1197,Nadrazi Veleslavin
1198,Nadrazi Veleslavin
1199,Nadrazi Veleslavin
1200,Nadrazi Veleslavin
1201,Nadrazi Veleslavin
1202,Nadrazi Veleslavin
1203,Nadrazi Vrsovice
1204,Nadrazi Vrsovice
1205,Nadrazi Vrsovice
1206,Nadrazi Vrsovice
1207,Poliklinika Vysocany
1208,Poliklinika Vysocany
1209,Poliklinika Vysocany
1210,Poliklinika Vysocany
1211,Nadrazi Zbraslav
1212,Nadrazi Zbraslav
1213,Trebenicka
1214,Trebenicka
1215,Trebenicka
1216,Trebenicka
1217,Pod Devinem
1218,Pod Devinem
1219,Nakladove nadrazi Zizkov
1220,Nakladove nadrazi Zizkov
1221,Nakladove nadrazi Zizkov
1222,Nakladove nadrazi Zizkov
1223,Slivenec
1224,Slivenec
1225,Libensky zamek
1226,Libensky zamek
1227,Hostivarska
1228,Hostivarska
1229,Hostivarska
1230,Hostivarska
1231,Kubanske namesti
1232,Kubanske namesti
1233,Kubanske namesti
1234,Vysocanska
1235,Vysocanska
1236,Nadrazi Vysocany
1237,Vysocanska
1238,Vysocanska
1239,Vysocanska
1240,Vysocanska
1241,Nadrazi Vysocany
1242,Vysocanska
1243,Vysocanska
1244,Mladi
1245,Mladi
1246,Namesti Miru
1247,Namesti Miru
1248,Namesti Miru
1249,Namesti Miru
1250,Namesti Miru
1251,Macharovo namesti
1252,Macharovo namesti
1253,Velka Chuchle
1254,Namesti Republiky
1255,Namesti Republiky
1256,Masarykovo nadrazi
1257,Masarykovo nadrazi
1258,Namesti Republiky
1259,Namesti Republiky
1260,Svandovo divadlo
1261,Svandovo divadlo
1262,Svandovo divadlo
1263,Svandovo divadlo
1264,Namesti Bratri Synku
1265,Namesti Bratri Synku
1266,Namesti Bratri Synku
1267,Namesti Bratri Synku
1268,Otakarova
1269,Otakarova
1270,Namesti Bratri Synku
1271,Narodni divadlo
1272,Narodni divadlo
1273,Narodni divadlo
1274,Narodni divadlo
1275,Vodickova
1276,Vodickova
1277,Nebusice
1278,Nebusice
1279,K Noskovne
1280,K Noskovne
1281,Nedvezi
1282,Nedvezi
1283,Nemocnice Krc
1284,Nemocnice Krc
1285,Nemocnice Krc
1286,Nemocnice Krc
1287,Nemocnice Krc
1288,Nemocnice Krc
1289,Kudrnova
1290,Kudrnova
1291,Netluky
1292,Netluky
1293,Newtonova
1294,Newtonova
1295,Nova kolonie
1296,Nova kolonie
1297,Nova Sarka
1298,Nova Sarka
1299,Nove dvory
1300,Nove dvory
1301,Nove dvory
1302,Nove Podoli
1303,Nove Podoli
1304,Novodvorska
1305,Novodvorska
1306,Novodvorska
1307,Novodvorska
1308,Novodvorska
1309,Novovysocanska
1310,Novovysocanska
1311,Novy Hloubetin
1312,Novy Hloubetin
1313,Novy Hloubetin
1314,Novy Hloubetin
1315,Novy Prosek
1316,Novy Prosek
1317,Novy Slivenec
1318,Novy Slivenec
1319,Novy Strizkov
1320,Novy Strizkov
1321,Nuselska radnice
1322,Nuselska radnice
1323,Nuselske schody
1324,Nuselske schody
1325,K Trebonicum
1326,K Trebonicum
1327,V Podbabe
1328,V Podbabe
1329,Petriny
1330,Petriny
1331,Petriny
1332,Petriny
1333,Bohemians
1334,Bohemians
1335,Observator Libus
1336,Observator Libus
1337,Ceskomoravska
1338,Ceskomoravska
